stationID,all_len,data_len,th_len,missing_hour
421418,70169,62681,62664,103
421640,68993,62681,62664,103
422114,63785,62681,62616,103
422116,63785,62681,62616,103
423301,61193,61193,60862,1591
424571,52539,52539,52248,10245
424573,52539,52539,52248,10245
425545,45843,45843,45552,16941
425546,45843,45843,45552,16941
425694,44475,44475,44208,18309
425696,44475,44475,44208,18309
425697,44475,44475,44208,18309
425699,44475,44475,44208,18309
425892,43779,43779,43512,19005
425893,43779,43779,43512,19005
425894,43779,43779,43512,19005
425895,43779,43779,43512,19005
425897,43779,43779,43512,19005
426294,43299,43299,43032,19485
426295,43299,43299,43032,19485
426296,43299,43299,43032,19485
426297,43299,43299,43032,19485
426298,43299,43299,43032,19485
426299,43299,43299,43032,19485
426300,43299,43299,43032,19485
426301,43299,43299,43032,19485
426302,43299,43299,43032,19485
426303,43299,43299,43032,19485
426306,43299,43299,43032,19485
426307,43299,43299,43032,19485
426308,43299,43299,43032,19485
426309,43299,43299,43032,19485
426311,43299,43299,43032,19485
426312,43299,43299,43032,19485
426313,43299,43299,43032,19485
426314,43299,43299,43032,19485
426315,43299,43299,43032,19485
426317,43299,43299,43032,19485
426318,43299,43299,43032,19485
426340,43299,43299,43032,19485
426602,35499,35499,35208,27285
426603,35499,35499,35208,27285
426610,35499,35499,35208,27285
428128,29331,29331,29088,33453
428418,28083,28083,27840,34701
428419,28083,28083,27840,34701
428423,28083,28083,27840,34701
428425,28083,28083,27840,34701
428588,16971,16971,16632,45813
428589,16971,16971,16632,45813
428962,15555,15555,15240,47229
429512,9747,9747,9480,53037
429513,9747,9747,9480,53037
429514,9747,9747,9480,53037
429904,6675,6675,6432,56109
430775,4371,4371,4128,58413
